Month,BSE_High ,BSE_Low ,BSE_Volume,NSE_High ,NSE_Low ,NSE_Volume
23-Apr,62,53.35,"3,58,26,301",62,53.35,"43,30,42,050"
23-May,72,63,"7,83,23,138",72,63,"77,51,89,360"
23-Jun,84.52,70.9,"7,62,53,784",84.5,70.85,"90,78,02,000"
23-Jul,88.25,77.1,"6,21,15,986",88.3,77.05,"94,24,53,269"
23-Aug,95.54,85.51,"6,06,82,861",95.8,85.55,"1,10,97,64,624"
23-Sep,100.74,89,"33,74,39,010",100.7,89.1,"82,83,54,368"
23-Oct,95.99,81.5,"6,56,63,550",95.65,81.45,"62,47,82,124"
23-Nov,88.86,80.8,"4,34,41,748",88.9,80.8,"50,01,73,454"
23-Dec,92.33,85.4,"21,20,30,918",92.45,85.4,"78,85,76,702"
24-Jan,89.6,78.88,"9,05,30,184",89.65,78.9,"98,98,28,327"
24-Feb,84.6,77.83,"7,79,03,157",84.65,77.8,"67,01,66,783"
24-Mar,82.89,75.1,"23,44,64,293",82.85,75.05,"69,47,01,447"
